pair,aspect,in_window_bars,rate_in,lift,binomial_p,random_p,holdout_in_bars,holdout_lift,bh_significant
moon-mars,30.0,31,0.5483870967741935,0.8670740826693484,0.8755704655457177,0.8905472636815921,12,0.9395119418483905,False
moon-neptune,90.0,33,0.5454545454545454,0.8624373228689776,0.8871534421325228,0.9154228855721394,8,1.006619937694704,False
venus-neptune,150.0,57,0.543859649122807,0.8599155763108812,0.9347692886132444,0.9552238805970149,5,1.2884735202492212,False
venus-mars,45.0,57,0.543859649122807,0.8599155763108812,0.9347692886132444,0.9402985074626866,14,0.0,False
moon-uranus,135.0,35,0.5428571428571428,0.8583304784743634,0.8975252746915773,0.8407960199004975,11,0.5856697819314642,False
moon-pluto,150.0,35,0.5428571428571428,0.8583304784743634,0.8975252746915773,0.8855721393034826,8,1.006619937694704,False
jupiter-pluto,30.0,167,0.5389221556886228,0.852108732175936,0.9946982520943184,1.0,0,,False
sun-jupiter,60.0,39,0.5384615384615384,0.8513804341142471,0.9152106662659658,0.9253731343283582,7,0.23008455718736093,False
sun-neptune,30.0,39,0.5384615384615384,0.8513804341142471,0.9152106662659658,0.9402985074626866,13,0.619458423196741,False
sun-mars,30.0,65,0.5384615384615384,0.8513804341142471,0.9538971836451211,0.9651741293532339,18,0.0,False
moon-pluto,180.0,32,0.53125,0.8399780175859313,0.9131586889299976,0.9154228855721394,8,0.6039719626168224,False
mars-saturn,120.0,117,0.5299145299145299,0.8378664589695766,0.9910000835349017,0.9850746268656716,51,0.8526663001649258,False
sun-saturn,30.0,40,0.525,0.830095923261391,0.9403799964548932,0.9203980099502488,14,0.11504227859368046,False
mercury-venus,45.0,42,0.5238095238095238,0.8282136195805262,0.9456051520836681,0.945273631840796,7,0.0,False
sun-venus,30.0,96,0.5208333333333334,0.8235078603783641,0.9904070316809269,0.9950248756218906,31,0.5715003517234449,False
mars-uranus,30.0,73,0.5205479452054794,0.823056623194595,0.9811127880466998,0.9800995024875622,0,,False
mars-jupiter,90.0,52,0.5192307692307693,0.8209739900387384,0.9652580086372364,0.9701492537313433,13,0.7433501078360892,False
sun-pluto,180.0,31,0.5161290322580645,0.8160697248652691,0.9350025245817735,0.9402985074626866,6,0.0,False
mercury-saturn,135.0,31,0.5161290322580645,0.8160697248652691,0.9350025245817735,0.9601990049751243,17,0.8526663001649258,False
moon-venus,60.0,33,0.5151515151515151,0.8145241382651455,0.9407892636523146,0.9203980099502488,8,0.8052959501557633,False
moon-saturn,45.0,35,0.5142857142857142,0.8131551901336074,0.9460116387307359,0.9502487562189055,9,0.8947732779508482,False
moon-pluto,135.0,37,0.5135135135135135,0.8119342363946681,0.9507326250422427,0.9751243781094527,8,0.8052959501557633,False
mercury-neptune,0.0,39,0.5128205128205128,0.8108385086802353,0.9550067774679629,0.9502487562189055,27,0.8947732779508482,False
sun-venus,0.0,104,0.5,0.7905675459632294,0.9978556449801614,0.9850746268656716,28,1.2079439252336448,False
sun-moon,150.0,30,0.5,0.7905675459632294,0.9528286175321203,0.9502487562189055,8,0.40264797507788164,False
moon-uranus,150.0,34,0.5,0.7905675459632294,0.9605027329368894,0.9552238805970149,11,0.8785046728971962,False
saturn-pluto,60.0,168,0.5,0.7905675459632294,0.9998276333047542,1.0,168,0.8052959501557633,False
sun-mars,60.0,50,0.5,0.7905675459632294,0.9802525244608908,0.9900497512437811,0,,False
moon-mars,150.0,36,0.5,0.7905675459632294,0.9638324611050879,0.9601990049751243,10,0.6442367601246106,False
moon-mars,0.0,38,0.5,0.7905675459632294,0.9668667347713927,0.9701492537313433,11,0.5856697819314642,False
